,LATITUDE,LONGITUDE
477656,41.855111502863174,-87.72591769201105
478008,41.74376787841189,-87.64491044437409
478152,41.93011044391672,-87.6539198075495
478530,41.92897503655794,-87.66119107601604
478765,41.930647446898924,-87.6573058309955
478977,41.90294047151225,-87.70691351268165
479169,41.69786649381781,-87.64759465514607
479241,41.997388720502684,-87.7639215192798
479450,41.74347485642057,-87.7242377129798
479474,41.74275057788119,-87.72475489936315
479591,41.8126055741733,-87.64549895462976
479615,41.93254031399874,-87.65320388258459
479662,41.95711542660115,-87.6887048491518
479686,41.76349083981923,-87.7088637075125
479710,41.901066807989594,-87.7568336738401
479923,41.874339901217006,-87.73536535884804
480065,41.98304770582163,-87.76867807380378
480367,41.98465596005587,-87.76845404397409
480775,41.70312195660828,-87.5251248470275
480995,41.72401247428092,-87.5949795211178
482426,41.921139026481725,-87.64997515730734
482497,41.81919610026405,-87.68486377651182
482594,41.9560719242627,-87.66458335711005
482644,41.910610140150645,-87.67661047795522
482959,41.82188761389607,-87.60432147305595
483722,41.804870678286704,-87.74200549806395
483795,41.714111405033535,-87.64437988550142
484157,41.70864398518536,-87.643024347783
484634,41.79720139493449,-87.69648504707081
485339,41.79562231141972,-87.69400448637434
485744,41.94152066059964,-87.67738366493514
485933,41.95720274382897,-87.6645329321541
486097,42.01503302456836,-87.68306810914865
486359,41.83201089933672,-87.68289224737205
486717,41.99521225272081,-87.81682797292895
486882,41.9965379038021,-87.813736474474
486998,41.993580851197436,-87.81381698262697
487354,41.74903930606346,-87.67082665285307
487427,41.99104440231843,-87.78773227744551
487476,41.87233045967297,-87.73506179588368
487549,41.70693203286429,-87.63812235867432
487648,41.71233837166806,-87.63948165944346
487718,41.7068134420736,-87.64418616762808
487742,41.94583563191895,-87.72753030453865
487766,41.85493775984957,-87.72008458950238
487885,41.923335003623606,-87.6877427986446
488002,41.93810949639904,-87.70283848162448
488143,41.91162476020431,-87.68984235410377
489946,41.89074127330783,-87.68725402902643
490039,41.901222537399846,-87.71042463658812
490110,41.968345033215186,-87.78443621708954
490789,41.99710778572572,-87.81587891536907
491047,41.92326203260821,-87.79904448015611
491120,41.92264432557193,-87.7365574418826
491236,41.92396375825346,-87.79632883077312
491330,41.86935997046203,-87.65660659387558
491424,41.738299009909525,-87.74082751260164
491636,41.73330381435226,-87.5910635429566
491755,41.73512813995258,-87.59118119252408
491941,41.93077804482135,-87.66327897374005
492012,41.937676833565924,-87.83565526966795
492410,41.94882449625926,-87.81461761728649
492622,41.946892798807966,-87.80712131872366
492807,41.94680751945703,-87.80954293156404
492971,41.93547671289403,-87.80053763462963
493043,41.793262715166,-87.7000335384532
493067,41.90979199494336,-87.73991372042484
493091,41.90979116117716,-87.74364426760984
493442,41.857692011498536,-87.63037123894216
493954,41.99719339081852,-87.75362227012384
494025,41.997167933953044,-87.71860728000969
494119,41.99801632173976,-87.66633423438455
494613,41.99803264740354,-87.66494616230447
494985,41.95801451924171,-87.66778956345141
495170,41.74689466168462,-87.65855751772956
495380,41.72294121820967,-87.66286287127303
496711,41.937659877212326,-87.83650658082796
497202,41.97869342870784,-87.78076815612066
497577,41.985443274548174,-87.81060588389208
498876,41.7138346039382,-87.64313501434866
499884,41.924111843795316,-87.69359986805657
501281,41.91684730632842,-87.70192436398962
501775,41.872898831920814,-87.73535703886408
501973,41.9733138637925,-87.72467756176702
504968,41.872547642677816,-87.7572542657621
504992,41.880510169623626,-87.65257712538583
505246,41.774438983976864,-87.76143851514216
505363,41.939184681110724,-87.70494985401515
505503,41.94912349832509,-87.79628180860355
506340,41.94459388143892,-87.74416836222622
507341,41.841594521997564,-87.65779370130038
507736,41.78230907907711,-87.7151723684497
508110,41.77992565259419,-87.71263140911812
508251,41.772801501491436,-87.615429082211
508275,41.76571672629447,-87.60558402698703
508299,41.753510952693034,-87.73247660663557
508323,41.776931272691606,-87.58647360023576
509314,41.969093477032104,-87.73313830295963
509409,41.88018473136373,-87.77480630239796
509527,41.77200123694097,-87.67629668689248
510685,41.779142835553436,-87.67999894142018
510943,41.79422477626473,-87.69762318454727
511686,41.958360494918225,-87.71903089482366
511710,41.92466650126917,-87.72072428514568
512114,41.75379752005542,-87.6721682886467
513135,41.75200654211845,-87.66969200140511
513943,41.96195209902218,-87.6499773331093
514039,41.92906950775079,-87.80483627397982
514705,41.70946952750681,-87.62371458429656
514847,41.98317645731145,-87.70893943216761
515151,41.87745772172824,-87.67026566201531
515222,41.78022230061536,-87.62028638868955
515821,41.94242732709481,-87.8275801279777
515892,41.97156165995293,-87.74854786539677
516578,41.68993500324726,-87.68060928274424
516933,41.73693782564858,-87.68832517013395
516981,41.73682220284279,-87.60024350062355
517123,41.984174614513066,-87.80980477429796
517147,41.927960793026365,-87.64870433110315
517785,41.92494196691,-87.69491046030079
518043,41.99545675158231,-87.7983112718907
518236,41.96810465436362,-87.7305377809914
519539,41.94515479714219,-87.67763259150202
519827,41.75202238059488,-87.66848150603361
519851,41.78454395730851,-87.6353971373035
520558,41.93534727554043,-87.73277110068159
520939,41.854420313884575,-87.7234324079395
521292,41.963382891920055,-87.68374468563374
521363,41.93410917236244,-87.80123531762536
521387,41.918229032243815,-87.6378480432391
522002,41.91852164886568,-87.65809000011842
522098,41.6908090704318,-87.61298285759199
522240,41.8907480761696,-87.6748875621528
522379,41.749552179401995,-87.71203736060635
522856,41.75414217356362,-87.72103392152559
522904,41.96785196497942,-87.75755212061048
522975,42.019317575105106,-87.69495336664423
523493,41.89878961375351,-87.74602339004822
524034,41.92297718361298,-87.70916757049923
524692,41.97666316939925,-87.71614590494318
524786,41.88970925505681,-87.68428068665004
524810,41.808803492214366,-87.75067447729616
524834,41.85964906535485,-87.67121219288346
525049,42.017750082026986,-87.80915189377441
525259,41.703475012362375,-87.54148499018572
525376,41.804198142550575,-87.60635254966759
525983,41.78040369454447,-87.62183748916998
526007,41.926632749292224,-87.68785369959238
526338,41.962827884274056,-87.77573245248077
526594,41.93898281464936,-87.72745908462801
526712,41.83079106178359,-87.73408231468633
527549,41.6985667363424,-87.64729919081475
528824,41.698969277755225,-87.63428886712119
528917,41.69717103389238,-87.63423338615505
528987,41.867484227164155,-87.61915038338188
529011,41.751855602467025,-87.54825033733894
529219,41.69437423369453,-87.63504675054556
529336,41.694353930275796,-87.63678715650009
529775,41.694334406544726,-87.6384682661722
529891,41.7689868427152,-87.64436423083971
529915,41.69430727087385,-87.6407122952174
529985,41.76164403993052,-87.63350394772205
531058,41.78727065496098,-87.76581514006844
531128,41.98728897067043,-87.76804841367992
531568,41.70543859535582,-87.6244019020009
532011,41.705440462799395,-87.62425449566321
532104,41.98728897067043,-87.76804841367992
